order,english,turkish,image_file,audio_en_file,audio_tr_file
46,they,onlar,046.jpg,ing_046.mp3,tr_046.mp3
47,city,şehir,047.jpg,ing_047.mp3,tr_047.mp3
48,sit,oturmak,048.jpg,ing_048.mp3,tr_048.mp3
49,who,dsö,049.jpg,ing_049.mp3,tr_049.mp3
50,yes,evet,050.jpg,ing_050.mp3,tr_050.mp3
51,friend,arkadaş,051.jpg,ing_051.mp3,tr_051.mp3
52,home,ev,052.jpg,ing_052.mp3,tr_052.mp3
53,now,şimdi,053.jpg,ing_053.mp3,tr_053.mp3
54,food,yiyecek,054.jpeg,ing_054.mp3,tr_054.mp3
55,eat,yemek yemek,055.jpg,ing_055.mp3,tr_055.mp3
56,some,bazı,056.png,ing_056.mp3,tr_056.mp3
57,bread,ekmek,057.jpg,ing_057.mp3,tr_057.mp3
58,water,su,058.jpg,ing_058.mp3,tr_058.mp3
59,drink,içmek,059.jpg,ing_059.mp3,tr_059.mp3
60,more,daha,060.jpg,ing_060.mp3,tr_060.mp3
61,today,bugün,061.png,ing_061.mp3,tr_061.mp3
62,work,iş,062.jpg,ing_062.mp3,tr_062.mp3
63,do,yapmak,063.jpg,ing_063.mp3,tr_063.mp3
64,not,olumsuz,064.png,ing_064.mp3,tr_064.mp3
65,school,okul,065.png,ing_065.mp3,tr_065.mp3
66,hard,zor,066.jpg,ing_066.mp3,tr_066.mp3
67,family,aile,067.jpg,ing_067.mp3,tr_067.mp3
68,time,zaman,068.png,ing_068.mp3,tr_068.mp3
69,together,birlikte,069.jpg,ing_069.mp3,tr_069.mp3
70,long,uzun,070.jpg,ing_070.mp3,tr_070.mp3
71,play,oynamak,071.jpg,ing_071.mp3,tr_071.mp3
72,fast,hızlı,072.jpg,ing_072.mp3,tr_072.mp3
73,outside,dıştan,073.png,ing_073.mp3,tr_073.mp3
74,read,okumak,074.jpeg,ing_074.mp3,tr_074.mp3
75,book,kitap,075.jpg,ing_075.mp3,tr_075.mp3
76,very,çok,076.jpg,ing_076.mp3,tr_076.mp3
77,quiet,sessizlik,077.jpg,ing_077.mp3,tr_077.mp3
78,inside,içeri,078.jpg,ing_078.mp3,tr_078.mp3
79,walk,yürümek,079.jpg,ing_079.mp3,tr_079.mp3
80,again,tekrar,080.png,ing_080.mp3,tr_080.mp3
81,slow,yavaş,081.jpg,ing_081.mp3,tr_081.mp3
82,help,yardım,082.jpg,ing_082.mp3,tr_082.mp3
83,people,insanlar,083.jpg,ing_083.mp3,tr_083.mp3
84,why,neden,084.jpg,ing_084.mp3,tr_084.mp3
85,easy,kolay,085.png,ing_085.mp3,tr_085.mp3
86,because,çünkü,086.png,ing_086.mp3,tr_086.mp3
87,start,başlangıç,087.jpg,ing_087.mp3,tr_087.mp3
88,day,gün,088.jpg,ing_088.mp3,tr_088.mp3
89,when,ne zaman,089.jpg,ing_089.mp3,tr_089.mp3
90,end,son,090.jpg,ing_090.mp3,tr_090.mp3
91,night,gece,091.jpeg,ing_091.mp3,tr_091.mp3
92,think,düşünmek,092.png,ing_092.mp3,tr_092.mp3
93,feel,hissetmek,093.jpg,ing_093.mp3,tr_093.mp3
94,happy,mutlu,094.jpg,ing_094.mp3,tr_094.mp3
95,know,bilmek,095.png,ing_095.mp3,tr_095.mp3
96,right,sağ,096.jpg,ing_096.mp3,tr_096.mp3
97,about,hakkında,097.jpg,ing_097.mp3,tr_097.mp3
98,learn,öğrenmek,098.jpg,ing_098.mp3,tr_098.mp3
99,remember,unutma,099.jpg,ing_099.mp3,tr_099.mp3
100,place,yer,100.jpg,ing_100.mp3,tr_100.mp3
101,before,önce,101.png,ing_101.mp3,tr_101.mp3
102,always,her zaman,102.jpg,ing_102.mp3,tr_102.mp3
103,forget,unutmak,103.jpg,ing_103.mp3,tr_103.mp3
104,sometimes,bazen,104.png,ing_104.mp3,tr_104.mp3
105,sad,üzgün,105.jpg,ing_105.mp3,tr_105.mp3
106,but,ancak,106.png,ing_106.mp3,tr_106.mp3
107,understand,anlamak,107.jpg,ing_107.mp3,tr_107.mp3
108,same,aynı,108.jpg,ing_108.mp3,tr_108.mp3
109,choose,seçmek,109.png,ing_109.mp3,tr_109.mp3
110,or,veya,110.jpg,ing_110.mp3,tr_110.mp3
111,different,farklı,111.jpg,ing_111.mp3,tr_111.mp3
112,stay,kalmak,112.jpg,ing_112.mp3,tr_112.mp3
113,after,sonrasında,113.jpg,ing_113.mp3,tr_113.mp3
114,then,daha sonra,114.jpg,ing_114.mp3,tr_114.mp3
115,ready,hazır,115.jpg,ing_115.mp3,tr_115.mp3
116,leave,ayrılmak,116.jpg,ing_116.mp3,tr_116.mp3
117,maybe,belki,117.jpg,ing_117.mp3,tr_117.mp3
118,never,asla,118.jpg,ing_118.mp3,tr_118.mp3
119,so,bu yüzden,119.jpg,ing_119.mp3,tr_119.mp3
120,free,özgür,120.png,ing_120.mp3,tr_120.mp3
121,live,canlı,121.jpg,ing_121.mp3,tr_121.mp3
122,love,aşk,122.jpg,ing_122.mp3,tr_122.mp3
